video_stem,n_frames,duplications_needed,case
d15545,9,0,0_duplications (super-image complète)
d15547,5,4,4_duplications
d15548,6,3,3_duplications
d15551,8,1,1_duplication
d15553,8,1,1_duplication
d15556,9,0,0_duplications (super-image complète)
d15559,3,6,6_duplications
d15560,7,2,2_duplications
d15563,7,2,2_duplications
d15564,9,0,0_duplications (super-image complète)
d15565,8,1,1_duplication
d15567,9,0,0_duplications (super-image complète)
d15570,8,1,1_duplication
d15571,6,3,3_duplications
d15572,8,1,1_duplication
d15573,8,1,1_duplication
d15575,9,0,0_duplications (super-image complète)
d15582,9,0,0_duplications (super-image complète)
d15584,8,1,1_duplication
d15585,7,2,2_duplications
d15586,9,0,0_duplications (super-image complète)
d15587,8,1,1_duplication
d15588,9,0,0_duplications (super-image complète)
d15589,8,1,1_duplication
d15590,7,2,2_duplications
d15591,8,1,1_duplication
d15592,7,2,2_duplications
d15593,8,1,1_duplication
d15594,8,1,1_duplication
d15595,9,0,0_duplications (super-image complète)
d15596,8,1,1_duplication
d15597,3,6,6_duplications
d15599,4,5,5_duplications
d15602,5,4,4_duplications
d15603,7,2,2_duplications
d15605,8,1,1_duplication
d15606,8,1,1_duplication
d15607,9,0,0_duplications (super-image complète)
d15611,8,1,1_duplication
d15612,9,0,0_duplications (super-image complète)
d15614,5,4,4_duplications
d15616,7,2,2_duplications
d15619,7,2,2_duplications
d15620,7,2,2_duplications
d15621,3,6,6_duplications
d15623,7,2,2_duplications
d15624,8,1,1_duplication
d15625,6,3,3_duplications
d15628,7,2,2_duplications
d15629,6,3,3_duplications
d15630,9,0,0_duplications (super-image complète)
d15631,9,0,0_duplications (super-image complète)
d15632,9,0,0_duplications (super-image complète)
d15638,7,2,2_duplications
d15639,8,1,1_duplication
d15640,7,2,2_duplications
d15642,7,2,2_duplications
d15644,8,1,1_duplication
d15650,2,7,7_duplications
d15654,5,4,4_duplications
d15655,8,1,1_duplication
d15657,9,0,0_duplications (super-image complète)
d15660,9,0,0_duplications (super-image complète)
d15661,7,2,2_duplications
d15662,9,0,0_duplications (super-image complète)
d15665,9,0,0_duplications (super-image complète)
d15667,9,0,0_duplications (super-image complète)
d15669,8,1,1_duplication
d15671,1,8,8_duplications (9x la même photo)
d15674,5,4,4_duplications
d15675,9,0,0_duplications (super-image complète)
d15681,9,0,0_duplications (super-image complète)
d15684,9,0,0_duplications (super-image complète)
d15685,5,4,4_duplications
d15686,7,2,2_duplications
d15687,5,4,4_duplications
d15689,9,0,0_duplications (super-image complète)
d15690,6,3,3_duplications
d15691,9,0,0_duplications (super-image complète)
d15698,2,7,7_duplications
d15704,8,1,1_duplication
d15707,9,0,0_duplications (super-image complète)
d15708,5,4,4_duplications
d15709,6,3,3_duplications
d15710,4,5,5_duplications
d15711,5,4,4_duplications
d15712,7,2,2_duplications
d15713,8,1,1_duplication
d15715,9,0,0_duplications (super-image complète)
d15717,8,1,1_duplication
d15718,4,5,5_duplications
d15720,6,3,3_duplications
d15721,6,3,3_duplications
d15723,7,2,2_duplications
d15724,6,3,3_duplications
d15726,8,1,1_duplication
d15727,6,3,3_duplications
d15729,1,8,8_duplications (9x la même photo)
d15731,2,7,7_duplications
d15732,8,1,1_duplication
d15733,7,2,2_duplications
d15735,6,3,3_duplications
d15742,6,3,3_duplications
d15743,7,2,2_duplications
d15744,7,2,2_duplications
d15745,9,0,0_duplications (super-image complète)
d15747,3,6,6_duplications
d15748,6,3,3_duplications
d15750,7,2,2_duplications
d15751,9,0,0_duplications (super-image complète)
d15752,8,1,1_duplication
d15753,8,1,1_duplication
d15755,7,2,2_duplications
d15756,9,0,0_duplications (super-image complète)
d15757,9,0,0_duplications (super-image complète)
d15759,5,4,4_duplications
d15761,5,4,4_duplications
d15762,7,2,2_duplications
d15767,9,0,0_duplications (super-image complète)
d15769,6,3,3_duplications
d15772,9,0,0_duplications (super-image complète)
d15774,8,1,1_duplication
d15775,9,0,0_duplications (super-image complète)
d15776,2,7,7_duplications
d15778,8,1,1_duplication
d15779,4,5,5_duplications
d15780,7,2,2_duplications
d15781,9,0,0_duplications (super-image complète)
d15783,8,1,1_duplication
d15785,7,2,2_duplications
d15787,5,4,4_duplications
d15788,4,5,5_duplications
d15789,8,1,1_duplication
d15790,8,1,1_duplication
d15791,8,1,1_duplication
d15795,9,0,0_duplications (super-image complète)
d15798,8,1,1_duplication
d15799,7,2,2_duplications
d15801,6,3,3_duplications
d15802,3,6,6_duplications
d15804,7,2,2_duplications
d15805,4,5,5_duplications
d15806,6,3,3_duplications
d15807,6,3,3_duplications
d15809,6,3,3_duplications
d15811,6,3,3_duplications
d15813,9,0,0_duplications (super-image complète)
d15814,5,4,4_duplications
d15816,8,1,1_duplication
d15817,6,3,3_duplications
d15818,9,0,0_duplications (super-image complète)
d15819,7,2,2_duplications
d15820,8,1,1_duplication
d15821,8,1,1_duplication
d15822,9,0,0_duplications (super-image complète)
d15823,9,0,0_duplications (super-image complète)
d15824,6,3,3_duplications
d15825,4,5,5_duplications
d15826,6,3,3_duplications
d15828,6,3,3_duplications
d15829,9,0,0_duplications (super-image complète)
d15830,7,2,2_duplications
d15832,8,1,1_duplication
d15834,4,5,5_duplications
d15835,9,0,0_duplications (super-image complète)
d15836,7,2,2_duplications
d15837,7,2,2_duplications
d15838,7,2,2_duplications
d15839,4,5,5_duplications
d15841,5,4,4_duplications
d15842,6,3,3_duplications
d15844,2,7,7_duplications
d15845,3,6,6_duplications
d15848,8,1,1_duplication
d15852,9,0,0_duplications (super-image complète)
d15853,8,1,1_duplication
d15854,4,5,5_duplications
d15858,6,3,3_duplications
d15860,7,2,2_duplications
d15863,9,0,0_duplications (super-image complète)
d15864,5,4,4_duplications
d15865,4,5,5_duplications
d15866,8,1,1_duplication
d15869,9,0,0_duplications (super-image complète)
d15872,8,1,1_duplication
d15873,8,1,1_duplication
d15875,8,1,1_duplication
d15876,6,3,3_duplications
d15877,3,6,6_duplications
d15878,2,7,7_duplications
d15879,6,3,3_duplications
d15880,7,2,2_duplications
d15881,8,1,1_duplication
d15885,2,7,7_duplications
d15886,8,1,1_duplication
d15887,9,0,0_duplications (super-image complète)
d15888,7,2,2_duplications
d15889,3,6,6_duplications
d15890,8,1,1_duplication
d15891,5,4,4_duplications
d15893,8,1,1_duplication
d15894,7,2,2_duplications
d15896,9,0,0_duplications (super-image complète)
d15897,7,2,2_duplications
d15898,7,2,2_duplications
d15902,4,5,5_duplications
d15903,4,5,5_duplications
d15904,5,4,4_duplications
d15905,7,2,2_duplications
d15906,7,2,2_duplications
d15907,8,1,1_duplication
d15908,8,1,1_duplication
d15910,9,0,0_duplications (super-image complète)
d15912,2,7,7_duplications
d15913,7,2,2_duplications
d15914,8,1,1_duplication
d15915,5,4,4_duplications
d15917,7,2,2_duplications
d15918,7,2,2_duplications
d15920,6,3,3_duplications
d15922,5,4,4_duplications
d15923,4,5,5_duplications
d15928,9,0,0_duplications (super-image complète)
d15932,9,0,0_duplications (super-image complète)
d15933,9,0,0_duplications (super-image complète)
d15935,7,2,2_duplications
d15936,5,4,4_duplications
d15938,8,1,1_duplication
d15940,4,5,5_duplications
d15943,6,3,3_duplications
d15944,8,1,1_duplication
d15948,7,2,2_duplications
d15949,4,5,5_duplications
d15950,3,6,6_duplications
d15951,9,0,0_duplications (super-image complète)
d15958,8,1,1_duplication
d15969,6,3,3_duplications
d15973,3,6,6_duplications
d15974,3,6,6_duplications
d15976,9,0,0_duplications (super-image complète)
d15980,8,1,1_duplication
d15985,7,2,2_duplications
d15986,6,3,3_duplications
d15989,6,3,3_duplications
d15990,7,2,2_duplications
d15992,6,3,3_duplications
d15994,9,0,0_duplications (super-image complète)
d15996,8,1,1_duplication
d16002,9,0,0_duplications (super-image complète)
d16004,9,0,0_duplications (super-image complète)
d16005,9,0,0_duplications (super-image complète)
d16007,7,2,2_duplications
d16012,5,4,4_duplications
d16017,4,5,5_duplications
d16022,4,5,5_duplications
d16025,5,4,4_duplications
d16032,7,2,2_duplications
d16034,8,1,1_duplication
d16035,8,1,1_duplication
d16036,7,2,2_duplications
d16038,5,4,4_duplications
d16041,4,5,5_duplications
d16043,8,1,1_duplication
d16046,9,0,0_duplications (super-image complète)
d16052,5,4,4_duplications
d16055,8,1,1_duplication
d16057,5,4,4_duplications
d16061,3,6,6_duplications
d16065,8,1,1_duplication
d16073,9,0,0_duplications (super-image complète)
d16074,8,1,1_duplication
d16080,7,2,2_duplications
d16083,2,7,7_duplications
d16084,8,1,1_duplication
d16087,6,3,3_duplications
d16089,7,2,2_duplications
d16092,9,0,0_duplications (super-image complète)
d16094,7,2,2_duplications
d16101,8,1,1_duplication
d16102,6,3,3_duplications
d16104,4,5,5_duplications
d16107,9,0,0_duplications (super-image complète)
d16109,9,0,0_duplications (super-image complète)
d16113,8,1,1_duplication
d16115,8,1,1_duplication
d16117,8,1,1_duplication
d16122,8,1,1_duplication
d16125,7,2,2_duplications
d16127,2,7,7_duplications
d16128,6,3,3_duplications
d16130,3,6,6_duplications
d16131,9,0,0_duplications (super-image complète)
d16132,7,2,2_duplications
d16136,3,6,6_duplications
d16142,9,0,0_duplications (super-image complète)
d16143,9,0,0_duplications (super-image complète)
d16144,7,2,2_duplications
d16146,5,4,4_duplications
d16148,3,6,6_duplications
d16149,7,2,2_duplications
d16150,2,7,7_duplications
d16152,2,7,7_duplications
d16159,2,7,7_duplications
d16160,3,6,6_duplications
d16164,7,2,2_duplications
d16166,7,2,2_duplications
d16168,9,0,0_duplications (super-image complète)
d16169,8,1,1_duplication
d16170,8,1,1_duplication
d16172,5,4,4_duplications
d16178,9,0,0_duplications (super-image complète)
d16180,4,5,5_duplications
d16181,8,1,1_duplication
d16182,8,1,1_duplication
d16185,7,2,2_duplications
d16191,9,0,0_duplications (super-image complète)
d16193,4,5,5_duplications
d16194,9,0,0_duplications (super-image complète)
d16195,6,3,3_duplications
d16196,5,4,4_duplications
d16197,3,6,6_duplications
d16198,3,6,6_duplications
d16199,7,2,2_duplications
d16201,7,2,2_duplications
d16202,3,6,6_duplications
d16204,9,0,0_duplications (super-image complète)
d16205,7,2,2_duplications
d16208,7,2,2_duplications
d16211,9,0,0_duplications (super-image complète)
d16213,8,1,1_duplication
d16214,8,1,1_duplication
d16215,7,2,2_duplications
d16217,7,2,2_duplications
d16219,8,1,1_duplication
d16223,9,0,0_duplications (super-image complète)
d16232,8,1,1_duplication
d16233,7,2,2_duplications
d16234,3,6,6_duplications
d16238,6,3,3_duplications
d16239,6,3,3_duplications
d16240,4,5,5_duplications
d16241,7,2,2_duplications
d16242,5,4,4_duplications
d16243,7,2,2_duplications
d16244,7,2,2_duplications
d16245,9,0,0_duplications (super-image complète)
d16246,5,4,4_duplications
d16250,5,4,4_duplications
d16252,3,6,6_duplications
d16257,9,0,0_duplications (super-image complète)
d16260,5,4,4_duplications
d16263,4,5,5_duplications
d16264,6,3,3_duplications
d16267,8,1,1_duplication
d16268,7,2,2_duplications
d16271,8,1,1_duplication
d16274,8,1,1_duplication
d16275,9,0,0_duplications (super-image complète)
d16277,9,0,0_duplications (super-image complète)
d16279,7,2,2_duplications
d16280,7,2,2_duplications
d16285,9,0,0_duplications (super-image complète)
d16287,9,0,0_duplications (super-image complète)
d16292,8,1,1_duplication
d16293,7,2,2_duplications
d16294,8,1,1_duplication
d16296,6,3,3_duplications
d16298,6,3,3_duplications
d16299,7,2,2_duplications
d16300,7,2,2_duplications
d16301,9,0,0_duplications (super-image complète)
d16303,6,3,3_duplications
d16305,6,3,3_duplications
d16307,9,0,0_duplications (super-image complète)
d16308,7,2,2_duplications
d16309,8,1,1_duplication
d16310,9,0,0_duplications (super-image complète)
d16311,4,5,5_duplications
d16315,9,0,0_duplications (super-image complète)
d16318,6,3,3_duplications
d16319,9,0,0_duplications (super-image complète)
d16325,7,2,2_duplications
d16328,3,6,6_duplications
d16329,8,1,1_duplication
d16330,7,2,2_duplications
d16337,8,1,1_duplication
d16340,9,0,0_duplications (super-image complète)
d16345,8,1,1_duplication
d16347,8,1,1_duplication
d16357,9,0,0_duplications (super-image complète)
d16362,9,0,0_duplications (super-image complète)
d16363,8,1,1_duplication
d16366,7,2,2_duplications
d16381,8,1,1_duplication
d16384,7,2,2_duplications
d16387,9,0,0_duplications (super-image complète)
d16395,9,0,0_duplications (super-image complète)
d16397,8,1,1_duplication
d16399,8,1,1_duplication
d16401,6,3,3_duplications
d16404,6,3,3_duplications
d16406,7,2,2_duplications
d16407,9,0,0_duplications (super-image complète)
d16408,9,0,0_duplications (super-image complète)
d16410,8,1,1_duplication
d16411,8,1,1_duplication
d16412,9,0,0_duplications (super-image complète)
d16417,9,0,0_duplications (super-image complète)
d16418,9,0,0_duplications (super-image complète)
d16422,7,2,2_duplications
d16424,9,0,0_duplications (super-image complète)
d16427,7,2,2_duplications
d16428,8,1,1_duplication
d16430,9,0,0_duplications (super-image complète)
d16431,6,3,3_duplications
d16440,9,0,0_duplications (super-image complète)
d16445,7,2,2_duplications
d16447,7,2,2_duplications
d16449,8,1,1_duplication
d16451,9,0,0_duplications (super-image complète)
d16452,8,1,1_duplication
d16454,8,1,1_duplication
d16455,8,1,1_duplication
d16457,7,2,2_duplications
d16461,9,0,0_duplications (super-image complète)
d16462,8,1,1_duplication
d16464,8,1,1_duplication
d16466,9,0,0_duplications (super-image complète)
d16467,8,1,1_duplication
d16469,7,2,2_duplications
d16472,9,0,0_duplications (super-image complète)
d16473,8,1,1_duplication
d16474,8,1,1_duplication
d16478,4,5,5_duplications
d16481,9,0,0_duplications (super-image complète)
d16482,6,3,3_duplications
d16484,9,0,0_duplications (super-image complète)
d16490,8,1,1_duplication
d16492,8,1,1_duplication
d16504,4,5,5_duplications
d16509,9,0,0_duplications (super-image complète)
d16510,1,8,8_duplications (9x la même photo)
d16517,7,2,2_duplications
d16522,9,0,0_duplications (super-image complète)
d16545,8,1,1_duplication
d16562,7,2,2_duplications
d16563,8,1,1_duplication
d16574,4,5,5_duplications
d16576,4,5,5_duplications
d16584,5,4,4_duplications
d16592,9,0,0_duplications (super-image complète)
d16595,8,1,1_duplication
d16766,5,4,4_duplications
d16772,5,4,4_duplications
d16773,4,5,5_duplications
d16775,9,0,0_duplications (super-image complète)
d16776,9,0,0_duplications (super-image complète)
d16784,5,4,4_duplications
d16815,6,3,3_duplications
d16816,7,2,2_duplications
d16819,8,1,1_duplication
d16820,8,1,1_duplication
d16828,9,0,0_duplications (super-image complète)
d16829,8,1,1_duplication
d16830,8,1,1_duplication
d16833,9,0,0_duplications (super-image complète)
d16844,9,0,0_duplications (super-image complète)
d16849,6,3,3_duplications
d16857,6,3,3_duplications
d16860,5,4,4_duplications
d16863,9,0,0_duplications (super-image complète)
d16904,7,2,2_duplications
d16948,4,5,5_duplications
d16952,9,0,0_duplications (super-image complète)
d17004,9,0,0_duplications (super-image complète)
d17006,9,0,0_duplications (super-image complète)
d17007,8,1,1_duplication
d17009,9,0,0_duplications (super-image complète)
d17012,8,1,1_duplication
d17014,6,3,3_duplications
d17015,7,2,2_duplications
d17016,8,1,1_duplication
d17019,5,4,4_duplications
d17020,3,6,6_duplications
d17026,6,3,3_duplications
d17027,9,0,0_duplications (super-image complète)
d17032,9,0,0_duplications (super-image complète)
d17033,7,2,2_duplications
d17039,8,1,1_duplication
d17040,7,2,2_duplications
d17041,8,1,1_duplication
d17043,2,7,7_duplications
d17046,6,3,3_duplications
d17048,9,0,0_duplications (super-image complète)
d17051,8,1,1_duplication
d17062,7,2,2_duplications
d17067,3,6,6_duplications
d17072,7,2,2_duplications
d17073,8,1,1_duplication
d17077,7,2,2_duplications
d17081,8,1,1_duplication
d17082,9,0,0_duplications (super-image complète)
d17085,7,2,2_duplications
d17093,2,7,7_duplications
d17099,8,1,1_duplication
d17105,9,0,0_duplications (super-image complète)
d17108,7,2,2_duplications
d17118,9,0,0_duplications (super-image complète)
d17119,7,2,2_duplications
d17127,9,0,0_duplications (super-image complète)
d17134,5,4,4_duplications
d17136,7,2,2_duplications
d17137,9,0,0_duplications (super-image complète)
d17138,9,0,0_duplications (super-image complète)
d17139,6,3,3_duplications
d17143,9,0,0_duplications (super-image complète)
d17145,4,5,5_duplications
d17150,9,0,0_duplications (super-image complète)
d17152,8,1,1_duplication
d17153,9,0,0_duplications (super-image complète)
d17157,8,1,1_duplication
d17158,9,0,0_duplications (super-image complète)
d17164,9,0,0_duplications (super-image complète)
d17169,9,0,0_duplications (super-image complète)
d17171,9,0,0_duplications (super-image complète)
d17172,6,3,3_duplications
d17175,4,5,5_duplications
d17177,9,0,0_duplications (super-image complète)
d17183,7,2,2_duplications
d17186,7,2,2_duplications
d17187,9,0,0_duplications (super-image complète)
d17194,2,7,7_duplications
d17195,9,0,0_duplications (super-image complète)
d17197,9,0,0_duplications (super-image complète)
d17198,9,0,0_duplications (super-image complète)
d17199,9,0,0_duplications (super-image complète)
d17200,9,0,0_duplications (super-image complète)
d17204,9,0,0_duplications (super-image complète)
d17206,9,0,0_duplications (super-image complète)
d17207,9,0,0_duplications (super-image complète)
d17209,9,0,0_duplications (super-image complète)
d17213,7,2,2_duplications
d17214,9,0,0_duplications (super-image complète)
d17217,9,0,0_duplications (super-image complète)
d17218,7,2,2_duplications
d17223,9,0,0_duplications (super-image complète)
d17225,8,1,1_duplication
d17230,9,0,0_duplications (super-image complète)
d17239,9,0,0_duplications (super-image complète)
d17244,6,3,3_duplications
d17245,8,1,1_duplication
d17247,9,0,0_duplications (super-image complète)
d17248,9,0,0_duplications (super-image complète)
d17254,8,1,1_duplication
d17256,8,1,1_duplication
d17262,8,1,1_duplication
d17266,6,3,3_duplications
d17277,5,4,4_duplications
d17278,9,0,0_duplications (super-image complète)
d17279,9,0,0_duplications (super-image complète)
d17282,8,1,1_duplication
d17286,9,0,0_duplications (super-image complète)
d17294,5,4,4_duplications
d17296,6,3,3_duplications
d17299,8,1,1_duplication
d17300,7,2,2_duplications
d17304,7,2,2_duplications
d17305,9,0,0_duplications (super-image complète)
d17306,8,1,1_duplication
d17314,8,1,1_duplication
d17324,9,0,0_duplications (super-image complète)
d17328,4,5,5_duplications
d17342,7,2,2_duplications
d17367,8,1,1_duplication
d17379,7,2,2_duplications
d17399,9,0,0_duplications (super-image complète)
d17400,7,2,2_duplications
d17404,8,1,1_duplication
d17409,9,0,0_duplications (super-image complète)
d17410,5,4,4_duplications
d17415,9,0,0_duplications (super-image complète)
d17419,5,4,4_duplications
d17421,7,2,2_duplications
d17424,3,6,6_duplications
d17428,9,0,0_duplications (super-image complète)
d17429,4,5,5_duplications
d17436,7,2,2_duplications
d17438,8,1,1_duplication
d17439,6,3,3_duplications
d17443,8,1,1_duplication
d17458,9,0,0_duplications (super-image complète)
d17464,9,0,0_duplications (super-image complète)
d17467,5,4,4_duplications
d17469,9,0,0_duplications (super-image complète)
d17473,9,0,0_duplications (super-image complète)
d17474,9,0,0_duplications (super-image complète)
d17476,1,8,8_duplications (9x la même photo)
d17486,9,0,0_duplications (super-image complète)
d17492,3,6,6_duplications
d17493,7,2,2_duplications
d17495,8,1,1_duplication
d17498,6,3,3_duplications
d17501,7,2,2_duplications
d17515,7,2,2_duplications
d17518,7,2,2_duplications
d17519,4,5,5_duplications
d17526,6,3,3_duplications
d17528,8,1,1_duplication
d17546,8,1,1_duplication
d17549,7,2,2_duplications
d17552,3,6,6_duplications
d17553,8,1,1_duplication
d17554,6,3,3_duplications
d17555,7,2,2_duplications
d17559,6,3,3_duplications
d17564,8,1,1_duplication
d17568,9,0,0_duplications (super-image complète)
d17573,9,0,0_duplications (super-image complète)
d17574,9,0,0_duplications (super-image complète)
d17576,9,0,0_duplications (super-image complète)
d17586,9,0,0_duplications (super-image complète)
d17594,5,4,4_duplications
d17598,9,0,0_duplications (super-image complète)
d17601,4,5,5_duplications
d17602,5,4,4_duplications
d17604,5,4,4_duplications
d17606,9,0,0_duplications (super-image complète)
d17611,7,2,2_duplications
d17615,6,3,3_duplications
d17638,7,2,2_duplications
d17639,6,3,3_duplications
d17643,5,4,4_duplications
d17645,3,6,6_duplications
d17647,5,4,4_duplications
d17655,9,0,0_duplications (super-image complète)
d17658,5,4,4_duplications
d17659,5,4,4_duplications
d17666,7,2,2_duplications
d17667,5,4,4_duplications
d17668,9,0,0_duplications (super-image complète)
d17671,9,0,0_duplications (super-image complète)
d17672,9,0,0_duplications (super-image complète)
d17674,6,3,3_duplications
d17686,4,5,5_duplications
d17690,5,4,4_duplications
d17700,9,0,0_duplications (super-image complète)
d17708,9,0,0_duplications (super-image complète)
d17719,9,0,0_duplications (super-image complète)
d17724,9,0,0_duplications (super-image complète)
d17733,9,0,0_duplications (super-image complète)
d17736,9,0,0_duplications (super-image complète)
d17737,7,2,2_duplications
d17744,9,0,0_duplications (super-image complète)
d17751,8,1,1_duplication
d17752,6,3,3_duplications
d17753,8,1,1_duplication
d17756,7,2,2_duplications
d17759,8,1,1_duplication
d17772,9,0,0_duplications (super-image complète)
d17773,9,0,0_duplications (super-image complète)
d17778,5,4,4_duplications
d17785,5,4,4_duplications
d17790,9,0,0_duplications (super-image complète)
d17791,6,3,3_duplications
d17792,5,4,4_duplications
d17809,5,4,4_duplications
d17817,3,6,6_duplications
d17836,8,1,1_duplication
d17852,9,0,0_duplications (super-image complète)
d17854,9,0,0_duplications (super-image complète)
d17861,5,4,4_duplications
d17866,5,4,4_duplications
d17869,9,0,0_duplications (super-image complète)
d17871,9,0,0_duplications (super-image complète)
d17875,8,1,1_duplication
d17878,8,1,1_duplication
d17880,6,3,3_duplications
d17884,9,0,0_duplications (super-image complète)
d17904,7,2,2_duplications
d17908,5,4,4_duplications
d17910,7,2,2_duplications
d17911,9,0,0_duplications (super-image complète)
d17912,9,0,0_duplications (super-image complète)
d17913,5,4,4_duplications
d17915,6,3,3_duplications
d17918,7,2,2_duplications
d17919,7,2,2_duplications
d17920,8,1,1_duplication
d17922,8,1,1_duplication
d17923,7,2,2_duplications
d17925,8,1,1_duplication
d17926,9,0,0_duplications (super-image complète)
d17929,8,1,1_duplication
d17931,5,4,4_duplications
d17932,9,0,0_duplications (super-image complète)
d17933,9,0,0_duplications (super-image complète)
d17934,9,0,0_duplications (super-image complète)
d17935,9,0,0_duplications (super-image complète)
d17960,9,0,0_duplications (super-image complète)
d17961,9,0,0_duplications (super-image complète)
d17962,9,0,0_duplications (super-image complète)
d17965,3,6,6_duplications
d17966,7,2,2_duplications
d17969,8,1,1_duplication
d17972,5,4,4_duplications
d17979,9,0,0_duplications (super-image complète)
d17980,4,5,5_duplications
d17982,6,3,3_duplications
d17983,8,1,1_duplication
d17984,9,0,0_duplications (super-image complète)
d17985,7,2,2_duplications
d17987,9,0,0_duplications (super-image complète)
d17989,6,3,3_duplications
d17990,9,0,0_duplications (super-image complète)
d17991,6,3,3_duplications
d17992,8,1,1_duplication
d17993,8,1,1_duplication
d17994,6,3,3_duplications
d17995,9,0,0_duplications (super-image complète)
d17999,9,0,0_duplications (super-image complète)
d18000,9,0,0_duplications (super-image complète)
d18001,8,1,1_duplication
d18002,9,0,0_duplications (super-image complète)
d18005,9,0,0_duplications (super-image complète)
d18009,8,1,1_duplication
d18011,7,2,2_duplications
d18012,9,0,0_duplications (super-image complète)
d18014,8,1,1_duplication
d18015,8,1,1_duplication
d18016,8,1,1_duplication
d18021,9,0,0_duplications (super-image complète)
d18026,7,2,2_duplications
d18028,7,2,2_duplications
d18029,7,2,2_duplications
d18030,7,2,2_duplications
d18031,8,1,1_duplication
d18034,6,3,3_duplications
d18039,7,2,2_duplications
d18068,8,1,1_duplication
d18074,8,1,1_duplication
d18077,5,4,4_duplications
d18084,5,4,4_duplications
d18085,8,1,1_duplication
d18090,6,3,3_duplications
d18093,9,0,0_duplications (super-image complète)
d18098,8,1,1_duplication
d18099,8,1,1_duplication
d18106,4,5,5_duplications
d18107,6,3,3_duplications
d18108,8,1,1_duplication
d18109,9,0,0_duplications (super-image complète)
d18111,9,0,0_duplications (super-image complète)
d18115,8,1,1_duplication
d18118,7,2,2_duplications
d18128,8,1,1_duplication
d18137,5,4,4_duplications
d18140,9,0,0_duplications (super-image complète)
d18141,9,0,0_duplications (super-image complète)
d18142,8,1,1_duplication
d18143,9,0,0_duplications (super-image complète)
d18144,8,1,1_duplication
d18145,9,0,0_duplications (super-image complète)
d18147,8,1,1_duplication
d18148,9,0,0_duplications (super-image complète)
d18149,6,3,3_duplications
d18150,5,4,4_duplications
d18152,9,0,0_duplications (super-image complète)
d18153,9,0,0_duplications (super-image complète)
d18154,6,3,3_duplications
d18155,8,1,1_duplication
d18156,8,1,1_duplication
d18158,8,1,1_duplication
d18160,8,1,1_duplication
d18161,6,3,3_duplications
d18164,8,1,1_duplication
d18169,7,2,2_duplications
d18170,9,0,0_duplications (super-image complète)
d18172,8,1,1_duplication
d18173,8,1,1_duplication
d18179,9,0,0_duplications (super-image complète)
d18186,9,0,0_duplications (super-image complète)
d18189,9,0,0_duplications (super-image complète)
d18192,8,1,1_duplication
d18201,5,4,4_duplications
d18209,9,0,0_duplications (super-image complète)
d18213,9,0,0_duplications (super-image complète)
d18215,9,0,0_duplications (super-image complète)
d18216,9,0,0_duplications (super-image complète)
d18218,9,0,0_duplications (super-image complète)
d18219,7,2,2_duplications
d18221,7,2,2_duplications
d18226,7,2,2_duplications
d18229,9,0,0_duplications (super-image complète)
d18231,6,3,3_duplications
d18232,3,6,6_duplications
d18237,5,4,4_duplications
d18240,8,1,1_duplication
d18243,6,3,3_duplications
d18245,7,2,2_duplications
d18248,8,1,1_duplication
d18254,8,1,1_duplication
d18255,9,0,0_duplications (super-image complète)
d18257,9,0,0_duplications (super-image complète)
d18260,9,0,0_duplications (super-image complète)
d18261,8,1,1_duplication
d18262,8,1,1_duplication
d18263,9,0,0_duplications (super-image complète)
d18265,9,0,0_duplications (super-image complète)
d18267,9,0,0_duplications (super-image complète)
d18269,9,0,0_duplications (super-image complète)
d18274,9,0,0_duplications (super-image complète)
d18275,9,0,0_duplications (super-image complète)
d18276,9,0,0_duplications (super-image complète)
d18277,8,1,1_duplication
d18278,9,0,0_duplications (super-image complète)
d18280,9,0,0_duplications (super-image complète)
d18281,9,0,0_duplications (super-image complète)
d18282,8,1,1_duplication
d18283,7,2,2_duplications
d18288,6,3,3_duplications
d18291,6,3,3_duplications
d18292,8,1,1_duplication
d18293,7,2,2_duplications
d18295,8,1,1_duplication
d18297,9,0,0_duplications (super-image complète)
d18299,8,1,1_duplication
d18300,5,4,4_duplications
d18304,8,1,1_duplication
d18306,6,3,3_duplications
d18307,8,1,1_duplication
d18308,8,1,1_duplication
d18309,6,3,3_duplications
d18312,6,3,3_duplications
d18313,5,4,4_duplications
d18314,6,3,3_duplications
d18315,9,0,0_duplications (super-image complète)
d18317,4,5,5_duplications
d18320,9,0,0_duplications (super-image complète)
d18323,9,0,0_duplications (super-image complète)
d18324,9,0,0_duplications (super-image complète)
d18325,6,3,3_duplications
d18329,7,2,2_duplications
d18334,9,0,0_duplications (super-image complète)
d18336,9,0,0_duplications (super-image complète)
d18337,9,0,0_duplications (super-image complète)
d18338,7,2,2_duplications
d18339,8,1,1_duplication
d18349,8,1,1_duplication
d18355,8,1,1_duplication
d18356,9,0,0_duplications (super-image complète)
d18357,9,0,0_duplications (super-image complète)
d18365,9,0,0_duplications (super-image complète)
d18367,7,2,2_duplications
d18369,6,3,3_duplications
d18371,9,0,0_duplications (super-image complète)
d18373,9,0,0_duplications (super-image complète)
d18376,8,1,1_duplication
d18379,8,1,1_duplication
d18385,6,3,3_duplications
d18386,9,0,0_duplications (super-image complète)
d18388,6,3,3_duplications
d18391,6,3,3_duplications
d18392,9,0,0_duplications (super-image complète)
d18395,7,2,2_duplications
d18396,9,0,0_duplications (super-image complète)
d18402,4,5,5_duplications
